序号,一级序号,二级序号,三级序号,二级产品类别,intended_use,grade,row_id
1,1,与致病性病原体抗原、抗体以及核酸等检测相关的试剂,01001,A、B、C群脑膜炎球菌多糖IgG抗体检测试剂,用于检测人体样本中的A、B、C群脑膜炎球菌多糖IgG抗体。临床上用于脑膜炎球菌感染的辅助诊断。,Ⅲ,1
2,1,与致病性病原体抗原、抗体以及核酸等检测相关的试剂,01002,A群链球菌抗原/核酸检测试剂,用于检测人体样本中的A群链球菌抗原/核酸。临床上用于链球菌感染的辅助诊断。,Ⅲ,2
3,1,与致病性病原体抗原、抗体以及核酸等检测相关的试剂,01003,B群链球菌抗原/核酸检测试剂,用于检测人体样本中的B群链球菌抗原/核酸。临床上用于链球菌感染的辅助诊断。,Ⅲ,3
4,1,与致病性病原体抗原、抗体以及核酸等检测相关的试剂,01004,BK病毒（BKV）核酸检测试剂,用于检测人体样本中的BK病毒（BKV）核酸。临床上用于BK病毒感染的辅助诊断。,Ⅲ,4
5,1,与致病性病原体抗原、抗体以及核酸等检测相关的试剂,01005,EB病毒Rta抗原IgG抗体检测试剂,用于检测人体样本中的EB病毒Rta的IgG抗体。临床上用于EB病毒感染的辅助诊断。,Ⅲ,5
6,1,与致病性病原体抗原、抗体以及核酸等检测相关的试剂,01006,EB病毒Zta抗原IgA抗体检测试剂,用于检测人体样本中的EB病毒Zta抗原IgA抗体。临床上用于EB病毒感染的辅助诊断。,Ⅲ,6
7,1,与致病性病原体抗原、抗体以及核酸等检测相关的试剂,01007,EB病毒核抗原（NA1）抗体检测试剂,用于检测人体样本中的EB病毒核抗原（NA1）抗体。临床上用于EB病毒感染的辅助诊断。,Ⅲ,7
8,1,与致病性病原体抗原、抗体以及核酸等检测相关的试剂,01008,EB病毒抗原/抗体/核酸检测试剂,用于检测人体样本中的EB病毒抗原/抗体/核酸。临床上用于EB病毒感染的辅助诊断。,Ⅲ,8
9,1,与致病性病原体抗原、抗体以及核酸等检测相关的试剂,01009,EB病毒壳抗原（p18）IgG抗体检测试剂,用于检测人体样本中的EB病毒壳抗原（p18）IgG抗体。临床上用于EB病毒感染的辅助诊断。,Ⅲ,9
10,1,与致病性病原体抗原、抗体以及核酸等检测相关的试剂,01010,EB病毒衣壳抗原（VCA）抗体检测试剂,用于检测人体样本中的EB病毒衣壳抗原（VCA）抗体。临床上用于EB病毒感染的辅助诊断。其中VCA IgA抗体用于鼻咽癌的辅助诊断，VCA IgM、VCA IgG抗体用于传染性单核细胞增多症的辅助诊断。,Ⅲ,10
1,1,与致病性病原体抗原、抗体以及核酸等检测相关的试剂,01011,EB病毒早期抗原（EA）抗体检测试剂,用于检测人体样本中的EB病毒早期抗原（EA）抗体。临床上用于EB病毒感染的早期辅助诊断。,Ⅲ,11
2,1,与致病性病原体抗原、抗体以及核酸等检测相关的试剂,01012,EB病毒TK（胸苷激酶）抗体检测试剂,用于检测人体样本中的EB病毒TK（胸苷激酶）抗体。临床上用于EB病毒感染的辅助诊断。,Ⅲ,12
3,1,与致病性病原体抗原、抗体以及核酸等检测相关的试剂,01013,JC病毒（JCV）核酸检测试剂,用于检测人体样本中的JC病毒（JCV）核酸。临床上用于JC病毒感染的辅助诊断。,Ⅲ,13
4,1,与致病性病原体抗原、抗体以及核酸等检测相关的试剂,01014,O1群霍乱弧菌诊断血清,用于检测人体样本中的O1群霍乱弧菌。临床上用于O1群霍乱弧菌感染的辅助诊断。,Ⅲ,14
5,1,与致病性病原体抗原、抗体以及核酸等检测相关的试剂,01015,霍乱弧菌抗原检测试剂,用于检测人体样本中的霍乱弧菌抗原。临床上用于霍乱的辅助诊断。,Ⅲ,15
6,1,与致病性病原体抗原、抗体以及核酸等检测相关的试剂,01016,埃可病毒抗体检测试剂,用于检测人体样本中的埃可病毒抗体。临床上用于埃可病毒感染的辅助诊断。,Ⅲ,16
7,1,与致病性病原体抗原、抗体以及核酸等检测相关的试剂,01017,白喉棒状杆菌抗体检测试剂,用于检测人体样本中的白喉棒状杆菌抗体。临床上用于白喉的辅助诊断。,Ⅲ,17
8,1,与致病性病原体抗原、抗体以及核酸等检测相关的试剂,01018,白色念珠菌抗原/核酸检测试剂,用于检测人体样本中的白色念珠菌抗原/核酸。临床上用于白色念珠菌感染的辅助诊断。,Ⅲ,18
9,1,与致病性病原体抗原、抗体以及核酸等检测相关的试剂,01019,百日咳杆菌抗原/抗体/核酸检测试剂,用于检测人体样本中的百日咳杆菌抗原/抗体/核酸。临床上用于百日咳的辅助诊断。,Ⅲ,19
10,1,与致病性病原体抗原、抗体以及核酸等检测相关的试剂,01020,包虫抗体检测试剂,用于检测人体样本中的包虫抗体。临床上用于包虫感染的辅助诊断。,Ⅲ,20
